id,date,type,country,region,title,description,source
P001,2026-03-15,surveillance,COD,Mongbalu,"First unusual deaths reported in Mongbwalu","Healthcare worker deaths from hemorrhagic illness noted retrospectively. Suspected index case onset.","WHO DON 605"
P002,2026-05-05,surveillance,COD,Mongbalu,"WHO alerted to high-mortality outbreak","Unknown illness with high mortality reported in Mongbwalu health zone, Ituri Province.","WHO DON 605"
P003,2026-05-13,surveillance,COD,Mongbalu,"Bundibugyo virus laboratory confirmed","8 of 13 blood samples positive for Bundibugyo ebolavirus at INRB Kinshasa.","WHO DON 605"
P004,2026-05-15,surveillance,COD,Ituri,"DRC declares Ebola outbreak","Government officially declares Bundibugyo virus disease outbreak. Uganda also declares outbreak same day.","WHO AFRO"
P005,2026-05-16,health_response,COD,Kinshasa,"WHO declares PHEIC","WHO Director-General declares Public Health Emergency of International Concern. No approved vaccines exist for Bundibugyo strain.","WHO PHEIC Declaration"
P006,2026-05-17,surveillance,COD,Goma,"Case confirmed in Kinshasa","Confirmed case detected in capital; US physician evacuated to Germany after testing positive.","WHO DON 605 / JAMA"
P007,2026-05-18,health_response,COD,Ituri,"WHO SitRep 01 published","First weekly external situation report: 8 confirmed, 393 suspected, 105 deaths across 7 health zones.","WHO AFRO SitRep 01"
P008,2026-05-19,aid,UGA,Kampala,"US commits $13 million in aid","US State Department announces emergency funding. CDC deploys 25 staff already in DRC.","US State Department / Christian Post"
P009,2026-05-20,aid,UGA,Kampala,"UK allocates £20 million","UK government announces emergency aid package for Ebola response in DRC and Uganda.","UK Health Security Agency"
P010,2026-05-22,surveillance,COD,Ituri,"WHO upgrades DRC risk to Very High","National risk level raised from High to Very High. 13 health zones affected across Ituri, Nord-Kivu, Sud-Kivu.","WHO Risk Assessment"
P011,2026-05-24,health_response,COD,Ituri,"WHO SitRep 02 published","Cases rise to 105 confirmed, 495 suspected, 148 deaths. Uganda reports 7 confirmed cases, 1 death.","WHO AFRO SitRep 02"
P012,2026-05-26,lockdown,COD,Nord-Kivu,"CDC imposes US travel restrictions","30-day entry ban on travelers from DRC, Uganda, South Sudan; exemptions for US citizens/permanent residents.","CDC / USA Today"
P013,2026-05-27,lockdown,UGA,Kampala,"Uganda closes DRC border","National Task Force orders immediate temporary border closure (4 weeks). Exemptions for Ebola response teams, food/cargo. Mandatory 21-day quarantine for entrants.","ReliefWeb / Uganda National Task Force"
P014,2026-05-27,aid,UGA,Kampala,"UN launches $15.8M emergency appeal","Three-month plan (May-August). $3.1M mobilized, $12.7M gap. Focus: case management, IPC, surveillance, WASH, refugees.","ReliefWeb UN Emergency Appeal"
P015,2026-05-28,lockdown,UGA,Kampala,"Uganda tightens cross-border controls","Schools in border districts ordered to enforce screening; media mandated 30+ min daily Ebola sensitization.","Uganda Press & Publications Centre"
P016,2026-05-29,surveillance,COD,Ituri,"Cases near 1,000 as containment efforts intensify","DRC reports 977+ suspected cases, 228+ suspected deaths (CFR ~14.3%). Four treatment centers attacked in Ituri.","One Health Society / Reuters"
P017,2026-05-28,aid,UGA,Kampala,"IsraAID launches emergency Ebola response","Working at Nyakabande Transit Centre (Congolese refugees >200% capacity) and Nakivale Refugee Settlement. Providing PPE, hygiene supplies, psychosocial support. As of 5/28: 1198 cases, >250 deaths in DRC; 7 cases, 1 death in Uganda.","IsraAID / ReliefWeb"
P018,2026-05-31,health_response,COD,Kinshasa,"EAC convenes emergency health ministers meeting","Extraordinary virtual meeting (1-2 June) of East African Community health ministers to coordinate regional response. 9 mobile laboratories deployed at border points, 180+ rapid response experts activated.","EAC / china.org.cn"
P019,2026-06-02,surveillance,COD,Ituri,"IOM publishes Multi-Country Situation Report No. 3","Covers 26 May-2 June. DRC: 321 confirmed, 116 suspected, 48 deaths. Uganda: 9-15 confirmed. 3.6M IDPs in DRC, 922K in Ituri. Flow monitoring at 8 PoEs shows continued cross-border movement via informal routes.","IOM / ReliefWeb"
P020,2026-06-02,health_response,COD,Ituri,"IOM warns Ebola response must cross borders faster than virus","Deputy DG Ugochi Daniels: border closures reduce visibility of population movements, undermining screening and surveillance. Calls for mobility-informed response and strengthened cross-border coordination.","IOM / ReliefWeb"
P021,2026-06-02,aid,COD,Kinshasa,"CEPI commits $60M for Bundibugyo vaccine development","Funding to three developers: Moderna, University of Oxford, and Serum Institute of India. Currently in preclinical/early clinical trial stages. No licensed vaccine exists for Bundibugyo strain.","CEPI"
P022,2026-06-04,aid,COD,Kinshasa,"Pandemic Fund mobilizes $220.6M emergency financing","$175.7M reprogrammed for 9 countries (DRC, South Sudan, Rwanda, Burundi, Tanzania, Zambia, Angola, Kenya, Ethiopia); $44.9M expedited for Uganda, CAR, Republic of Congo. World Bank-hosted fund activation.","Africa CDC / Pandemic Fund / AllAfrica"
P023,2026-06-05,health_response,COD,Kinshasa,"Africa CDC & WHO launch Continental Strategic Plan ($518M)","Six-month plan (June-November) under One Response approach: one plan, one budget, one team. Covers emergency coordination, surveillance, lab testing, IPC, clinical care, community engagement, logistics.","Africa CDC / WHO"
P024,2026-06-05,surveillance,UGA,Kampala,"Uganda confirms 15 total cases, 4 recoveries","DRC: 363 confirmed cases, 62 deaths, 6 discharged. Uganda: 15 confirmed, 1 death, 4 recoveries. 620 contacts monitored, 270 completed 21-day observation. Lab results within ~4 hours.","Africa CDC / China.org.cn / African News Agency"
